"비경취업희망여부","비경취업가능성여부","기타활동사항_4주내비구직사유코드","기타활동사항_지난1년내구직활동유무","조사년월","연령5세단위코드","가중값","경제활동상태코드"
1,1,03,1,202008,06,0001627647,3
1,1,03,1,202008,07,0000388757,3
1,1,03,1,202008,07,0000424256,3
1,1,03,1,202008,07,0000445528,3
1,1,03,1,202008,07,0000479688,3
1,1,03,1,202008,07,0000503277,3
1,1,03,1,202008,07,0000663897,3
1,1,03,1,202008,07,0000792230,3
1,1,03,1,202008,07,0001262863,3
1,1,03,1,202008,08,0000379883,3
1,1,03,1,202008,08,0000472975,3
1,1,03,1,202008,08,0000478408,3
1,1,03,1,202008,08,0000537976,3
1,1,03,1,202008,08,0000553535,3
1,1,03,1,202008,08,0000929427,3
1,1,03,1,202008,08,0000975340,3
1,1,03,1,202008,08,0001091269,3
1,1,03,1,202008,08,0001164486,3
1,1,03,1,202008,08,0001283452,3
1,1,03,1,202008,08,0001283452,3
1,1,03,1,202008,08,0001502228,3
1,1,03,1,202008,09,0000288193,3
1,1,03,1,202008,09,0000379140,3
1,1,03,1,202008,09,0000379140,3
1,1,03,1,202008,09,0000426381,3
1,1,03,1,202008,09,0000492979,3
1,1,03,1,202008,09,0000779845,3
1,1,03,1,202008,09,0001268727,3
1,1,03,1,202008,09,0001301311,3
1,1,03,1,202008,10,0000230389,3
1,1,03,1,202008,10,0000261824,3
1,1,03,1,202008,10,0000269984,3
1,1,03,1,202008,10,0000311416,3
1,1,03,1,202008,10,0000448727,3
1,1,03,1,202008,10,0000463060,3
1,1,03,1,202008,10,0000507749,3
1,1,03,1,202008,10,0000562105,3
1,1,03,1,202008,10,0000666323,3
1,1,03,1,202008,10,0000728015,3
1,1,03,1,202008,10,0001270028,3
1,1,03,1,202008,10,0001270028,3
1,1,03,1,202008,10,0001404342,3
1,1,03,1,202008,11,0000084232,3
1,1,03,1,202008,11,0000192196,3
1,1,03,1,202008,11,0000192196,3
1,1,03,1,202008,11,0000197475,3
1,1,03,1,202008,11,0000271360,3
1,1,03,1,202008,11,0000271360,3
1,1,03,1,202008,11,0000274586,3
1,1,03,1,202008,11,0000275249,3
1,1,03,1,202008,11,0000285158,3
1,1,03,1,202008,11,0000297968,3
1,1,03,1,202008,11,0000318294,3
1,1,03,1,202008,11,0000325187,3
1,1,03,1,202008,11,0000327309,3
1,1,03,1,202008,11,0000347091,3
1,1,03,1,202008,11,0000418708,3
1,1,03,1,202008,11,0000437225,3
1,1,03,1,202008,11,0000533464,3
1,1,03,1,202008,11,0000533464,3
1,1,03,1,202008,11,0000603193,3
1,1,03,1,202008,11,0000609597,3
1,1,03,1,202008,11,0000610041,3
1,1,03,1,202008,11,0001200654,3
1,1,03,1,202008,11,0001200654,3
1,1,04,1,202008,01,0000120944,3
1,1,04,1,202008,01,0000497923,3
1,1,04,1,202008,02,0000107725,3
1,1,04,1,202008,02,0000107725,3
1,1,04,1,202008,02,0000354997,3
1,1,04,1,202008,02,0000354997,3
1,1,04,1,202008,02,0000457541,3
1,1,04,1,202008,02,0000457541,3
1,1,04,1,202008,02,0000476220,3
1,1,04,1,202008,02,0000476220,3
1,1,04,1,202008,02,0000484481,3
1,1,04,1,202008,02,0000496267,3
1,1,04,1,202008,02,0000515234,3
1,1,04,1,202008,02,0000529354,3
1,1,04,1,202008,02,0000645623,3
1,1,04,1,202008,02,0000645623,3
1,1,04,1,202008,02,0000645623,3
1,1,04,1,202008,02,0000733697,3
1,1,04,1,202008,02,0000741126,3
1,1,04,1,202008,02,0000741126,3
1,1,04,1,202008,02,0000831722,3
1,1,04,1,202008,02,0000949394,3
1,1,04,1,202008,02,0000949394,3
1,1,04,1,202008,02,0000979516,3
1,1,04,1,202008,02,0000995617,3
1,1,04,1,202008,02,0001031482,3
1,1,04,1,202008,02,0001039359,3
1,1,04,1,202008,02,0001039359,3
1,1,04,1,202008,02,0001436339,3
1,1,04,1,202008,02,0001504021,3
1,1,04,1,202008,02,0001704292,3
1,1,04,1,202008,02,0001704292,3
1,1,04,1,202008,02,0001704292,3
1,1,04,1,202008,03,0000442595,3
1,1,04,1,202008,03,0000442595,3
1,1,04,1,202008,03,0000442595,3
1,1,04,1,202008,03,0000442595,3
1,1,04,1,202008,03,0000489884,3
1,1,04,1,202008,03,0000489884,3
1,1,04,1,202008,03,0000489884,3
1,1,04,1,202008,03,0000489884,3
1,1,04,1,202008,03,0000489884,3
1,1,04,1,202008,03,0000515248,3
1,1,04,1,202008,03,0000536792,3
1,1,04,1,202008,03,0000536792,3
1,1,04,1,202008,03,0000536792,3
1,1,04,1,202008,03,0000536792,3
1,1,04,1,202008,03,0000556713,3
1,1,04,1,202008,03,0000635144,3
1,1,04,1,202008,03,0000653700,3
1,1,04,1,202008,03,0000685186,3
1,1,04,1,202008,03,0000744218,3
1,1,04,1,202008,03,0000744218,3
1,1,04,1,202008,03,0000760815,3
1,1,04,1,202008,03,0000760815,3
1,1,04,1,202008,03,0000778600,3
1,1,04,1,202008,03,0000808769,3
1,1,04,1,202008,03,0000808769,3
1,1,04,1,202008,03,0000917863,3
1,1,04,1,202008,03,0000978740,3
1,1,04,1,202008,03,0000978740,3
1,1,04,1,202008,03,0001118111,3
1,1,04,1,202008,03,0001133453,3
1,1,04,1,202008,03,0001139336,3
1,1,04,1,202008,03,0001139336,3
1,1,04,1,202008,03,0001262783,3
1,1,04,1,202008,03,0001296824,3
1,1,04,1,202008,03,0001296824,3
1,1,04,1,202008,03,0001315529,3
1,1,04,1,202008,03,0001315529,3
1,1,04,1,202008,03,0001396548,3
1,1,04,1,202008,03,0001575783,3
1,1,04,1,202008,03,0001750904,3
1,1,04,1,202008,03,0001750904,3
1,1,04,1,202008,03,0001761257,3
1,1,04,1,202008,03,0001761257,3
1,1,04,1,202008,03,0001761257,3
1,1,04,1,202008,03,0001761257,3
1,1,04,1,202008,03,0002072859,3
1,1,04,1,202008,04,0000536183,3
1,1,04,1,202008,04,0000541196,3
1,1,04,1,202008,04,0000601435,3
1,1,04,1,202008,04,0000634332,3
1,1,04,1,202008,04,0000801442,3
1,1,04,1,202008,04,0000882169,3
1,1,04,1,202008,04,0000895936,3
1,1,04,1,202008,04,0000911800,3
1,1,04,1,202008,04,0000911800,3
1,1,04,1,202008,04,0001037537,3
1,1,04,1,202008,05,0000078732,3
1,1,04,1,202008,05,0000374245,3
1,1,04,1,202008,05,0000422448,3
1,1,04,1,202008,05,0000696891,3
1,1,04,1,202008,05,0000730590,3
1,1,04,1,202008,05,0000745838,3
1,1,04,1,202008,05,0001022540,3
1,1,04,1,202008,05,0001797014,3
1,1,04,1,202008,06,0000445492,3
1,1,04,1,202008,06,0000479853,3
1,1,04,1,202008,06,0000668264,3
1,1,04,1,202008,06,0000764128,3
1,1,04,1,202008,06,0000795690,3
1,1,04,1,202008,07,0000386497,3
1,1,04,1,202008,07,0000460147,3
1,1,04,1,202008,07,0000721817,3
1,1,04,1,202008,07,0001561572,3
1,1,04,1,202008,08,0000469327,3
1,1,04,1,202008,08,0000641502,3
1,1,04,1,202008,08,0000786942,3
1,1,04,1,202008,08,0000929427,3
1,1,04,1,202008,08,0001164486,3
1,1,04,1,202008,09,0000345134,3
1,1,04,1,202008,09,0000396938,3
1,1,04,1,202008,09,0000492979,3
1,1,04,1,202008,09,0000783301,3
1,1,04,1,202008,09,0000857418,3
1,1,04,1,202008,09,0001268727,3
1,1,04,1,202008,09,0001301311,3
1,1,04,1,202008,10,0000098982,3
1,1,04,1,202008,11,0001270974,3
1,1,05,1,202008,05,0000868857,3
1,1,05,1,202008,08,0000404199,3
1,1,05,1,202008,09,0000356337,3
1,1,05,1,202008,10,0000406908,3
1,1,05,1,202008,10,0000648742,3
1,1,05,1,202008,10,0000648742,3
1,1,05,1,202008,11,0000326561,3
1,1,05,1,202008,11,0000357814,3
1,1,05,1,202008,11,0000381135,3
1,1,05,1,202008,11,0000464583,3
1,1,05,1,202008,11,0000507480,3
1,1,05,1,202008,11,0000533464,3
1,1,05,1,202008,11,0000603193,3
1,1,05,1,202008,11,0000603193,3
1,1,05,1,202008,11,0000603193,3
1,1,05,1,202008,11,0000610041,3
1,1,05,1,202008,11,0000660590,3
1,1,05,1,202008,11,0000715021,3
1,1,05,1,202008,11,0000715021,3
1,1,05,1,202008,11,0001002185,3
1,1,05,1,202008,11,0001059454,3
1,1,06,1,202008,01,0000337494,3
1,1,06,1,202008,01,0000404207,3
1,1,06,1,202008,01,0000637292,3
1,1,06,1,202008,01,0000660431,3
1,1,06,1,202008,01,0000730891,3
1,1,06,1,202008,01,0000781105,3
1,1,06,1,202008,01,0000822521,3
1,1,06,1,202008,02,0000457541,3
1,1,06,1,202008,02,0000463509,3
1,1,06,1,202008,02,0000468867,3
1,1,06,1,202008,02,0000484481,3
1,1,06,1,202008,02,0000491938,3
1,1,06,1,202008,02,0000496267,3
1,1,06,1,202008,02,0000515234,3
1,1,06,1,202008,02,0000515234,3
1,1,06,1,202008,02,0000632599,3
1,1,06,1,202008,02,0000632599,3
1,1,06,1,202008,02,0000632599,3
1,1,06,1,202008,02,0000657612,3
1,1,06,1,202008,02,0001030222,3
1,1,06,1,202008,02,0001213265,3
1,1,06,1,202008,02,0001439686,3
1,1,06,1,202008,02,0001439686,3
1,1,06,1,202008,02,0001500883,3
1,1,06,1,202008,02,0001504021,3
1,1,06,1,202008,02,0001504021,3
1,1,06,1,202008,02,0001504021,3
1,1,06,1,202008,02,0001504021,3
1,1,06,1,202008,03,0000184313,3
1,1,06,1,202008,03,0000438973,3
1,1,06,1,202008,03,0000536792,3
1,1,06,1,202008,03,0000556713,3
1,1,06,1,202008,03,0000566362,3
1,1,06,1,202008,03,0000635144,3
1,1,06,1,202008,03,0000635144,3
1,1,06,1,202008,03,0000653700,3
1,1,06,1,202008,03,0000653700,3
1,1,06,1,202008,03,0000685186,3
1,1,06,1,202008,03,0000685186,3
1,1,06,1,202008,03,0000965449,3
1,1,06,1,202008,03,0001118111,3
1,1,06,1,202008,03,0001139336,3
1,1,06,1,202008,03,0001275985,3
1,1,06,1,202008,03,0001315529,3
1,1,06,1,202008,03,0001396548,3
1,1,06,1,202008,03,0001396548,3
1,1,06,1,202008,03,0001396548,3
1,1,06,1,202008,03,0001396548,3
1,1,06,1,202008,03,0001396548,3
1,1,06,1,202008,03,0001575783,3
1,1,06,1,202008,03,0001575783,3
1,1,06,1,202008,03,0001575783,3
1,1,06,1,202008,03,0001711556,3
1,1,06,1,202008,03,0001750904,3
1,1,06,1,202008,03,0001750904,3
1,1,06,1,202008,03,0001750904,3
1,1,06,1,202008,03,0001761257,3
1,1,06,1,202008,03,0001761257,3
1,1,06,1,202008,04,0000427047,3
1,1,06,1,202008,04,0000502459,3
1,1,06,1,202008,04,0000601435,3
1,1,06,1,202008,04,0000625102,3
1,1,06,1,202008,04,0000667641,3
